2022/12/15,18:00:24,IRDCSG,256/320
2022/12/15,18:00:24,vi_irdc,256/1024
2022/12/15,18:00:24,IRDC_Share,251/384
2022/12/15,22:00:22,IRDCSG,256/320
2022/12/15,22:00:22,vi_irdc,256/1024
2022/12/15,22:00:22,IRDC_Share,295/384
2022/12/16,10:00:22,IRDCSG,64/320
2022/12/16,10:00:22,vi_irdc,64/1024
2022/12/16,10:00:22,IRDC_Share,207/384
2022/12/16,14:00:20,IRDCSG,256/320
2022/12/16,14:00:20,vi_irdc,384/1024
2022/12/16,14:00:20,IRDC_Share,221/384
2022/12/16,18:00:20,IRDCSG,256/320
2022/12/16,18:00:20,vi_irdc,704/1024
2022/12/16,18:00:20,IRDC_Share,365/384
2022/12/16,22:00:18,IRDCSG,192/320
2022/12/16,22:00:18,vi_irdc,704/1024
2022/12/16,22:00:18,IRDC_Share,349/384
2022/12/17,10:51:09,IRDCSG,192/320
2022/12/17,10:51:09,vi_irdc,576/1024
2022/12/17,10:51:09,IRDC_Share,221/384
2022/12/17,14:00:22,IRDCSG,192/320
2022/12/17,14:00:22,vi_irdc,640/1024
2022/12/17,14:00:22,IRDC_Share,205/384
2022/12/17,18:00:17,IRDCSG,192/320
2022/12/17,18:00:17,vi_irdc,832/1024
2022/12/17,18:00:17,IRDC_Share,205/384
2022/12/17,22:00:18,IRDCSG,192/320
2022/12/17,22:00:18,vi_irdc,832/1024
2022/12/17,22:00:18,IRDC_Share,205/384
2022/12/20,10:00:24,IRDCSG,192/320
2022/12/20,10:00:24,vi_irdc,704/1024
2022/12/20,10:00:24,IRDC_Share,291/384
2022/12/20,14:00:23,IRDCSG,192/320
2022/12/20,14:00:23,vi_irdc,768/1024
2022/12/20,14:00:23,IRDC_Share,185/384
2022/12/20,18:00:23,IRDCSG,320/320
2022/12/20,18:00:23,vi_irdc,768/1024
2022/12/20,18:00:23,IRDC_Share,309/384
2022/12/20,22:00:22,IRDCSG,320/320
2022/12/20,22:00:22,vi_irdc,768/1024
2022/12/20,22:00:22,IRDC_Share,307/384
2022/12/21,14:00:23,IRDCSG,320/320
2022/12/21,14:00:23,vi_irdc,896/1024
2022/12/21,14:00:23,IRDC_Share,243/384
2022/12/21,18:00:27,IRDCSG,320/320
2022/12/21,18:00:27,vi_irdc,512/1024
2022/12/21,18:00:27,IRDC_Share,307/384
2022/12/21,22:00:23,IRDCSG,320/320
2022/12/21,22:00:23,vi_irdc,704/1024
2022/12/21,22:00:23,IRDC_Share,275/384
2022/12/22,14:00:26,IRDCSG,256/320
2022/12/22,14:00:26,vi_irdc,640/1024
2022/12/22,14:00:26,IRDC_Share,187/384
2022/12/22,18:00:19,IRDCSG,256/320
2022/12/22,18:00:19,vi_irdc,768/1024
2022/12/22,18:00:19,IRDC_Share,217/384
2022/12/22,22:00:22,IRDCSG,256/320
2022/12/22,22:00:22,vi_irdc,704/1024
2022/12/22,22:00:22,IRDC_Share,213/384
2022/12/23,14:00:21,IRDCSG,256/320
2022/12/23,14:00:21,vi_irdc,640/1024
2022/12/23,14:00:21,IRDC_Share,179/384
2022/12/23,18:00:21,IRDCSG,256/320
2022/12/23,18:00:21,vi_irdc,192/1024
2022/12/23,18:00:21,IRDC_Share,211/384
2022/12/23,22:00:21,IRDCSG,256/320
2022/12/23,22:00:21,vi_irdc,256/1024
2022/12/23,22:00:21,IRDC_Share,195/384
2022/12/24,14:00:22,IRDCSG,256/320
2022/12/24,14:00:22,vi_irdc,128/1024
2022/12/24,14:00:22,IRDC_Share,155/384
2022/12/24,18:00:22,IRDCSG,256/320
2022/12/24,18:00:22,vi_irdc,192/1024
2022/12/24,18:00:22,IRDC_Share,155/384
2022/12/24,22:00:20,IRDCSG,256/320
2022/12/24,22:00:20,vi_irdc,128/1024
2022/12/24,22:00:20,IRDC_Share,147/384
2022/12/25,14:00:21,IRDCSG,256/320
2022/12/25,14:00:21,vi_irdc,128/1024
2022/12/25,14:00:21,IRDC_Share,163/384
2022/12/25,18:00:18,IRDCSG,256/320
2022/12/25,18:00:18,vi_irdc,192/1024
2022/12/25,18:00:18,IRDC_Share,163/384
2022/12/25,22:00:17,IRDCSG,256/320
2022/12/25,22:00:17,vi_irdc,192/1024
2022/12/25,22:00:17,IRDC_Share,163/384
2022/12/26,14:00:21,IRDCSG,256/320
2022/12/26,14:00:21,vi_irdc,128/1024
2022/12/26,14:00:21,IRDC_Share,130/384
2022/12/27,14:00:17,IRDCSG,256/320
2022/12/27,14:00:17,vi_irdc,128/1024
2022/12/27,14:00:17,IRDC_Share,146/384
2022/12/27,18:00:26,IRDCSG,256/320
2022/12/27,18:00:26,vi_irdc,192/1024
2022/12/27,18:00:26,IRDC_Share,362/384
2022/12/27,22:00:21,IRDCSG,256/320
